NCefr,Cefr,Text,Total_Errors,Whitespace_Errors,Style_Errors,Uncategorized_Errors,Typographical_Errors,Misspelling_Errors,Type_Token_Ratio,Lexical_Density,Flesch_Reading_Ease,Wiener_Sachtextformel_Average,Average_Sentence_Length,Verb_Conjugations,Unique_Tenses
B,B1,"In 1975 hatten 44 % Haushalts drei und mehr Personen . In 2015 war es wenig - nur 24 % . Wie sieht ein Deutsch Haushalt in 2015 ? 42 % Haushalts sind nur ein Person . Die Zeit es nicht die Gleich . Diese Evolution ist langsam passiert . Von 1975 bis 1995 , die Haushalts sind "" even "" bekommen . Ein-dritte mit einen Person , ein-dritte mit zwei und ein-dritte mit drei und mehr . Weniger Leute haben mit ihren Eltern oder Großeltern gewohnt . Von da bis 2015 , am meisten Leute möchten allein leben . Diese "" change "" hat eine Frage gemacht , "" Sollte man alleine oder mit anderen zusammen leben ? "" Alle Menschen sind sozialen aber heute realitie darfen nicht große Familie . Heute steigt Deutschlands Wirtschaft . Mehr und mehr Leute wollen in die großen Städt leben . Weil die "" population density "" großer werden , Häuse sind kleiner . Sie sind nicht gut für ein Familie mit Kinder , Eltern , Großeltern , etc ... Mehr Leute bedeuten großer Haus und großer Haus bedeutet viel Geld . Nicht so viel Leute haben das viel Geld . Aber wie über soziale Kompetenzen ? Weil Wohnungs kleiner sind , es gibt mehr öffentlich "" utilities . "" Man kann im Park Jogging , in die Restaurant essen , in die Kneipe trinken ... alle mit andere Leute ! Mann kann auch dar andere neuen Leute sich treffen ! Leben alleine ist nicht ganz allein . Es gibt andere "" Opportunity "" für sozial machen . Ich komme aus LandX und ich lebe in die große Stadt seit vier Jahren . Für viele Leute , wir wollen allein leben , später veraheit ( to get married ? ) , weniger Kinder ... Wir haben eine schwere Zeit allein zu leben denn es ist zu teuer ! Wir leben mit uns Eltern oder großer Familie , wir leben in WG oder "" dormitory "" ... wir müssen sehr schwer für uns Indepence arbeiten . Ich glaube dass allein ein "" sign "" vor Financial Independence ist . Vor Familie möchten zusammen zu leben . Jetzt möchten Leute allein zu leben . Es gibt kein gut oder schlecht Idee . Es ist nur ein soziale Evolution . Wenn Lands wie Deutschland besser bekommen , das ist ein normal Trend .
",81,45,0,12,6,18,57.41935483870968,47.41935483870968,77.5,4.5,11.055555555555555,"{'present': 38, 'past': 4, 'future': 0, 'conditional': 0, 'subjunctive': 1}",3
B,B1,"Allein leben , allein essen , allein schlafen , wenig sprechen . Solsche Sachen habe ich als ich nach Deutschland gekommen bin , erliebt . Für mich war es eine Katastrophe allein zu leben . Im Laufe der Zeit habe ich bemerkt das viele Deutsche leben auch so und sie sind damit zufrieden . Für viele Leute in Deutschland leben in einem haushalt ist eine schlechte Idee . Weil sie ihrem eignen Leben führen wollen . Außerdem sie wollen alles selbst probieren ohne hilfe von den Eltern und das betrefft naturlich die Jugendliche . Für Leute die ungefäh zwischen 20 bis 40 die Situation ist einbisschen   anders Familie bedautet viele Aufgaben und Kindern bedutet Stress und viel Geld und Zeit man verbringen muss . Außerdem Allein zu leben ist auch ein bedroht zu dem Gesellschaf , weil dass auf auf die Geburtrate auch beeinflusst zum bei spiel viele Deutsche haben kein Kinder , da sie allein leben wollen . Aber die Setuation früher war nicht so in Deutschland und dass erkennet man sehr gut wenn die Grafik anschaut . Es ist deutlisch zu sehen , dass 1975 mehr als 44 % der Bevölkerung leben in einem Haushalt und 28 % deren leben allein . 1995 mehr als 30 % der Menschen leben zu zweit , während 2015 hat sich die Zahl der Menschen der allein leben erhöht bis 42 % Zusammenfassung kann man sagen , dass die Mehrheit der Bevölkerung bevorzugt allein oder nur zu zweit zu leben . Für uns in LandadjektivX Länder ist es ein bisschen anders die Mehrheit der Menschen leben in einen große Familie mindestens 5 Personen wo kann man die Aufgaben der Lebenzusammen   gut miteinander teilen . Wir kümmern um unsere groß Eltern . der Opa und die Opa sind ein König und eine Königin . und alle helfen sie gerne Mir gefählt nicht in Deutschand , dass ich viele alte Menschen allein im Straße laufen und ihre Sachen kaufen obwohl sie kaum laufen können . Ich meine wenn wir alle gemeinsam leben können , könnten wir besser einander helfen .
",63,30,1,13,0,18,56.25,46.05263157894737,62.05,6.025,20.529411764705884,"{'present': 36, 'past': 3, 'future': 0, 'conditional': 0, 'subjunctive': 1}",3
B,B1,"Im Rahmen des Themas "" Zusammen oder alleine leben ? "" , kann man davon ausgehen   dass dieses Thema sich in jüngster Zeit manifestiert . Viele Menschen betrachten dass es   positiv ist   wenn sie allein wohnen . Eine Kategorie des Menschen sehen es als negative Meinung . in der Grafik sieht man   wie viele Personen leben in Deutschland in einem Haushalt in den Jahren 1975 , 1995   , 2015   . Im Jahr 1975 hat der Anteil von 3 und mehr Personen in einem Haushalt an Bedeutung gewinnen . dann   im Jahre 1995   liegt der Anteil von 1 Personen und der Anteil von 3 Personen mit höhen Zahlen . Im Jahr 2015 liegt der Anteil einer Person in einem Haushalt auf dem Platz 1   dann kommt 2 Personen in einem Haushalt , mit niedrigen Zahl im gleichen Jahre kommt der Anteil   3 Personen mit 24 %   Was meine Meinung angeht , vertreten ich den Standpunkt   dass man nicht immer allein leben muss . Man muss mit der Gesellschaft interaktionistisch leben , damit man neue Leuten kennenlernen , in die soziale Bezugsgruppen treten . Heutezutage leben immer noch viele Leute in einer Einsamkeit , und die Gründe dafür sind zu viel   wie zum Beispiel , man mocht     nicht selbst Gedanken     dass die Unabhängigkeit von den Eltern oder von anderen Menschen besser ist , zusätzlich kann   sein   dass man psychisch krank ist und denkt   dass alle Menschen schlecht sind . Noch dazu wegen der Bedingungen des Lebens   wie z. B   Beruf weit Weg von der Umgebung oder   Studium in einer anderen Stadt , Scheidung der Eltern , alle diese Gründe können zu einem Alleinleben   .   Die Wirkung des Alleinlebens auf den einzelnen gibt es die Einsamkeit ,   die man drunter geraten könnte . Man kan auch soziale Kontakte verloren , und psychisch krank werden . Was die Einwirkungen auf die Gesellschaft angeht , kann es sein   dass   die Verbindung der Gesellschaft verringert ,   Mängelhaft an die Hilfsbereit zwischen     . Im Vergleich die Situation in Deutschland zu meinem Heimatland ist die Zahl der Menschen , die allein wohnen , sehr geringert . Die Gesellschaft in meinem Heimatland ist verbunden , und     herrsch immer noch die traditionellen Familien , in denen mehrere Personen wohnen .
",75,52,1,13,3,6,51.73501577287066,48.580441640378545,61.05,7.875,25.0,"{'present': 33, 'past': 1, 'future': 0, 'conditional': 0, 'subjunctive': 1}",3
B,B1,"Die Frage : Zusammen oder alleine leben ? ( Deutschland ) 1975 : 28 / 28 / 44 1995 : 35 / 32 / 33 2015 : 42 / 34 / 24 Der Grafik sagt in 1975 , 28 % Deutschmenschen haben alleine gelebt . 28 % haben mit einem andrere Person gelebt und 44 % haben Deutschmenschen mit 3 und mehr Personen gelebt . Aber in 1995 haben 35 % Deutschmenshen alleine gelebt . Auch haben 32 % Leuter mit einem andreren Person gelebt und 33 % mit 3 und mehr Personen gelebt . Dann in 2015 sagen die Nummers das 42 % Menschen alleine gelebt . 34 % auf die Leute haben mit einem andrere Person gelebt und nur 24 % haben mit 3 und mehr Personen gelebt . Jetzt mehr Leute lebt alleine wann in 1975 mehr Leute haben mit großer Familien oder 3 und mehr Personen gelebt . Es ist besser zu alleine leben . Mit einer große Familen oder viele Leute leben , du hast viele Regeln und nine allein zeit . Andrere Personen wurden dein Essen essen und Safte trinken . Aber wenn du lebst alleine nine Personen in dein platz sind . Du kannst laut Musik horen oder um 1 Uhr Fernsehen . Du hast kein Regeln weil du machen die Regeln . Du kannst immer schlafen und essen was du möchtest . Aber mit andere Personen du musst auf ihren zeit , möchten essen , und finden glauben . Ob du ist zu laut , sie kann sagt "" Auf die Musik machen "" oder "" Halt ! Ich will schlafen "" , und du musst hören . Alleine ist am besten . Du regelst dein Haus und du kannst mit Familien oder Freunden besuchen . Es ist besser mit andreren Leute treffen dann mit andreren Personen leben . Du bist Köng in dein Haus . Und das ist das .
",62,28,0,11,8,15,45.53191489361702,49.361702127659576,80.75,4.3,13.333333333333334,"{'present': 36, 'past': 1, 'future': 0, 'conditional': 0, 'subjunctive': 1}",3
B,B1,"Die Grafik stellt dar , wie viele Personen in Deutschland in einem Haushalt in einem Zwieschenraum von 1975 bis 2015 leben . Es ist gezeigt , drei verschiedene Grupen nähmlich eine Person pro Haushalt , zwei und drei und mehrere . Die Angaben sind im Prozent gezeignet . Die Personen die allein leben hat sich im Laufen von vierzig Jahren verändert und zwar ist zugestiegen von 28 bis 42 % im Jahr 2015 . Haushalten mit zwei Personen sind in dieser Zeit nicht besonders verändert d. h von 28 % im Jahr 1975 bis 34 % vierzig Jahren danach . Auf der Grafik ist deutlich erkenntbar , dass Haushalten mit drei oder mehr Personen sehr stark veringert haben . In Jahr 1975 fast die Hälft der Leute habe so gelebt aber eben innerhalb 20 Jahren ist dieser Teil in ein viertel gesunken d. h nur 33 % haben diese Lebenweise geschafft . Im Jahr 2015 ist nur 24 % der Bevölkerung in Deutschlan mit mehr als 2 Personen gelebt . Jeder kann natürlich alleine entscheiden , wie leben ; einfach ellein oder mit andere Personen . Niemand ist verflicht mit anderen zu wohnen , ader doch haben die Exprten andere Meinungen . Die halten fest , dass Mensch ist besser , korperlich und geistlich , wenn man in einem Geselschaft lebt . Und doch finde ich die haben recht . Wir brauchen immer im Kontakt bleiben , natürlich kann man denken , dass nicht nötig wäre aber mit andere leben . Aber wer wird dich hören wenn du traurig zu Hause kommst , oder wenn sehr kalt ist und man will einfach setzen und mit ein Freund oder Freundin eine Suppe genießen . Ich bin der Meinung , dass solche Kleinigkeiten machen das Leben viel besser , man bleibt gesunder und sicherlich mehr entspannt . Warum ist das leben genau besser , wenn man mit andere es mitteilt ? Das lässt sich einfach beantwortet . Nehmen wir zu erst die wiessenschaftlicher Standpunkt . Leute die seine Probleme teilen können , die falsch oder gemeit oder sauer seine Meinungen mitteilen können zeigen weniger Stresshormon als die Leute die allen für sich selbe hatten . Cortisol , die sogennante Stresshormon beenfluss unsere Immunsystem , unsere Abwehtsystem . Diese Beeinfluss bebinkt sehr stark in unsere Gesung heit , wir sind bei hoher Stress , nich mehr in der Lage gegen Infektionen zu bekampfen und können wir dann sehr einfach , z. B erkältet werden . Aber ist nich nur , dass Einsamkeit uns krank macht , unsere Geit ist auch getroffen . Leute leben viel mehr Jahren , wenn sie mehrere Freunde oder gute Kontak mit der Familien haben . Die haben eine bessere Leistung bei der Arbeit , die sind mehr empatisch und können bessere Lösungen finden , Lösungen die mehr freundlich sind d. h , wenn man nich allein ist kann besser seine Umgebung erkennen und damit sehen , dass alles , was man macht , alle einzelne Entscheidung , trift jede Mensch . Ich glaube dass macht unsere Geselschaff viel mehr menschlich . Wir brauchen immer im Kontakt bleiben , weil wir sozial sind . Leute leben alleine , weil sie unter diese System leiden . Die neoliberalistische System macht uns kapput , weil wir geschwungen sind , imme alle faster und besser machen und gibt so keine Raum für uns als ein geselschafftliches Mensch . In meinem Heimatland versuchen wir immer mit anderen zu leben , aber nich nur , weil geistlich besser ist sonder auch weil sehr teuer ist eine Wohnung allein zu kaufen oder mieten . Das freut mich eigentlich , da wie gesagt gesunder ist .
",123,67,0,16,2,38,50.77220077220077,49.80694980694981,64.75,6.4,18.515151515151516,"{'present': 68, 'past': 2, 'future': 0, 'conditional': 0, 'subjunctive': 3}",3
B,B1,"Heutzutage wird über das Thema "" Alleinleben Zusammenleben vielmehr diskutiert . Jeder hat seine Meinung und diskutiert darüber , was für Vorteile bzw. Nachteile dieses Themas haben . Wenn wir einen Blick auf unsere Grafike werfen sehen wir eine deutliche Veränderung . Im Jahre 1975 war der Anteil "" 1 Person "" 28 % . Im Vergleich zu dem Jahr 1995 wurde den Anzahl deutlich eingestiegen und zwar um 35 % und im Jahre 2015 um 42 % . Also wir sehen hier , dass eine Steigende Zuwachs gestiegen ist . Wenn wir aber der Anzahl "" 2 Personen und 3 Personen "" verdeutlichen möchten , finden wir keine größe Veränderung im Jahre 1995 . Der Anzahl "" 2 Personen "" liegt bei 32 % währen der Anzah "" 3 Personen "" bei 33 % liegt , Also nur um ca 1 % hat sich verändert Allgemein ist es verdeutlicht , dass eine steigende Zuwachs bei den Anahlen "" 2 Personen - 3 Personen "" existiert . Das hat zufolge , dass immer mehr personen sich für eine gemeinsame Wohnung bzw WGs entscheiden . Ich bin der Meinung , dass Zusammenwohnen ist eine Lösung fürs Abtrennen dieser Asozialität , aber dabei spielt keine Rolle , ob man alleine wohnt oder nicht . Soziale Kompetenzen können nicht nur durch das Zusammenleben gefunden werden Ich persönlich wohne alleine , aber ich habe schon in einer WG gewoht . Ich fahnd es nicht bessoners interresant und kann auch daher Probleme eingetrefen werden wie z. b Sauberkeit , Ruhe , usw. manchmal ist es schwierig Kompromisse der WGs Teilnehmer finden . Ich bevorzuge das Zusammenleben mit familiären Gründen wie z. b Brüdern , Schwestern oder in anderem Fall , oder wenn man heiraten möchte . Ich finde es ganz unfair , wenn es darüber geredet werden dass durch Zusammenleben in WGs kann Hilfsbereitschaf erbracht werden oder toleranz . Das kann ja schon existieren , aber auf der anderen Seite gibt \'s ja wie ich schon erwähnt hat , missverständlich Probleme . Am meisten Fällen bevorzugen die Teilnehmer in einer WG die Kosten , da es grünstige Miete in diesem Fall statfindet . Zusammenfassung möchte ich meine deutliche Meinung äußern , dass das Zusammenleben in solchen Fällen eine der Nachteile der Globalisierung ist . In meinem Heimatland "" LandX "" wird vielmehr zusammengewohnt , aber in bestimmten Fällen wie z. b. wie eine Familie , Brüder , Schwester , Eltern , kann auch sein , dass wenn einen Person verheiratet ist zusammen mit der Größfamilie wohnen . Es gibt aber andere Beispiele wie z. b. Studierende , die wegen des Studiums in einer WG wohnen , aber da wird das Trennen des Geschleats eine große Rolle spielen , letzendlich möchte ich sagen , dass jede sein eigene Meinung hat , wie er , sie , wohnen möcht , in welchen Situation , ob alleine oder zusammen
",96,55,0,8,12,21,56.13577023498695,48.30287206266319,58.3,8.05,21.90909090909091,"{'present': 51, 'past': 3, 'future': 0, 'conditional': 0, 'subjunctive': 0}",2
B,B1,"Alleine zu leben macht man körperlich und sellig stärker . Aber ich finde es sehr langweilig und manchmal fühle ich mich depressiv wegen der Alleinkeit . Das kann aber gut für die Gesellschaft sein . So kann man viel Energie sparen . Z. B. benutzen eine Familie manchmal nur ein Auto für alle oder sitzen alle in einem Zimmer und gucken ein T.V , usw. Heutzutage vermehrt Tagzutag die Anzahl von Leute , die allein zu leben möchte . D. h Junger gehen nach 18 Jahre meisten aus familie raus . Im Jahr 1975 haben nur 28 % von Leute allein gewohnt . Im Jahr 1995 hat die Anzahl von alleinlebende um 7 % erhöht und diese Anteil vermehrt sich auf 42 % in Jahr 2015 . Ich bin ganz dafür zu dieser Aussage . Wenn man zu Hause kein Kentakt mit Leute hat , er daran gewöhnt und später kann man nicht in einer Familie in Ruhe lebt . Viele Leute entschieden sich wegen genau dieser Grund . Wenn man immer allein wohnt , lernt er nicht richtig wie er mit anderen unterhalten kann . Das kann für eine Gesellschaft viele negative Auswirkung mitbringen . In meinem Heimatlan ist noch nicht wie anderen Länder . Ich glaube wegen unserem Kultur oder wegen Religion , bei manche Leuten , wohnen noch viele Jungern mit Familie oder Freunden . Allein zu Leben passiert nur wenn man muss .
",39,22,0,10,0,7,65.5,48.0,73.9,4.65,13.22222222222222,"{'present': 24, 'past': 1, 'future': 0, 'conditional': 0, 'subjunctive': 0}",2
B,B1,"Zusammen oder alleine leben ? Zusammen oder alleine leben hängt vom vielen Faktoren ab , wie z. B. Parterlösigkeit , Unabhängigkeit von der Familie oder sogar Ruhe ! Aus der Grafik geht hervor , dass die Anteil der alleinlebende Personen über Jahren immer deutlich gestiegen ist . Von 28 % Jahr 1975 zu 40 % im Jahr 2015 und Imgegenteil   ist hierfür die Anzahl der Personen die mit 3 und mehr Personen leben gesunken von 44 % auf 24 % ! Die Anzahl der Personen , die zuzweit   wohnten ist fast gleichgeblieben , was nicht zu überraschend ist . Seit mehreren Jahren 1975 , 1995 bis 2015 hat sich nur von 28 % , 32 % zu 34 % Alleine leben hat auch schon ihre Folgen wie die Aussage sagt , aber Hilfsbereitschaft kann man schon wie man alleine lebet auch haben wie durch die Nachbaren , Freunde oder Familie aber er kann auch manchmal unter Einsamkeit leiden , und diese Faktor kann zu Krankenheiten führen . In meinem Heimatsland LandX bevorzugen die Personen im zu 2 oder soger mehr zu wohnen , da sie wachsen meisten in einer größen Familie auf , und sie haben sich daran gewohnen , und zufrieden seien . Schön ist das man nicht alleine isst oder mit jmd. was zu Hause unternehmen oder bzw. reden , die Gefühle spielen auch eine Rolle bei dieser Entscheidung , ob man alleine wohnen will oder lieber bei "" Hotel Mama "" länger bleiben . letztendlich ist die Sache individuell , jeder hat ihre eigne Gründe , die er wichtig bei dieser Entscheidung finde .
",45,25,0,5,4,11,60.46511627906976,48.837209302325576,61.25,7.525,27.1,"{'present': 27, 'past': 0, 'future': 0, 'conditional': 0, 'subjunctive': 2}",2
B,B1,"Vor 100 Jahren bis jetzt hat sich der Technik sehr schnell entwicklt und der Welt viel geändert , das hat auch auf die Familien bezieung beeinflusst . Ich werde in dem folgenden Text darüber informieren , der Text bescheftigt sich mit dem Thema "" Zusammen oder alleine leben "" . 44 % der Menschen in Deutschland haben in Jahr 1975 3 und mehr Personen in einem Haushalt zusammen gelebt und nur 28 % der Menschen haben entwieder alleine oder zu zwei gelebt . im vergleich mit dem Jahr 1995 hat sich der Zahl der Personen , die 3 und mehr zusamme in einem Haushalt gelebt , gesungt . Wenn man die Personnen , die zu zweit in einem Haushalt zusammen gelebt , im Jahr 1995 und 2015 vergleiche möcht , kann man schnell bemerken das die unterschied sehr klein ca. 2 % ist Zusammenfassn kann man feststellen , dass die bezieung zwichen Familien von Jahr 1995 bis Jahr 2015 sich sehr geändert ist , das heißt immer mehr Personen alleine in einem Haushalt leben möchten . In meinem Heimatland bis jetzt whonen die Personen zusammen und es gibt sehr schöne beziehung in die große Familie , ich bin seit drei Jahre im Deutschland allein ohne meine Familie , so kann ich sehr gut über diese Theme diskutieren , im einen Hand und als Vorteile kann man nach eine gute möglichkeit wie z. b ( "" studium , Arbeitstelle und so weiter "" ) suchen oder eine schöne Leben ohne Kontrolle der Familie und die Tradition haben und ganz ruhig leben . in andere Hand , man füht sich ganz allein , wenn die Wochenend kommt und die Freunde beschäftigt sind , man sollte der Zeit allein verbringen und wenn es winter ist , ist ehrilich eine große Katastrophe . mit der Zeit fangt man sachen von sein seele sein personalität verlien . wenn es etwas schlecht passiert und man die Helfe von die Familie braucht , sie sind nicht mehr da . diese Situation führt manchmal zu psologische probleme . diese Nachteile von allein zu leben wirken sich negativ auf die Gesellschaft aus . wenn die verbindung zwichen die Familie wach ist , das bedeutet auch die Verbindung indem Geselschaft nicht sehr gut ist . ich kann vorstellen , dass die Leute werden die andre Leute , die nicht kennen , nicht helfen und die Liebe zwiechen die Menschen gezungen werde . in diese Richtung kann der Geselschaft nicht mehr positiv entwickelt , weil endliche wir Menschen sind und wir die andre brauchen . Wenn ich mich über mein Heimatland erinner , kauft der Großoba ein große Haus und verteilt die Wohnungen zwiechen sein Kinder , sie treffen sich jeder Wochenende , um zusamme zu früstucken und jeder erzäht ein bisschen wie war sein oder ihre Woche , dann singen , kochen oder spielen sie zusammen , wenn jemand von sie Helfe braucht , die andre geben ihm / sie a hand . viele Familien in meinem Heimatland kennen andere Familien , obwohl sie in große Städte leben . Am ende kann ich vorstellen , dass die Familie oft die ehrliche Kraft und power ist und wenn sie uns Helfe gibt , sie bracht nicht dagegen .
",111,49,0,19,5,38,47.30021598272138,47.94816414686825,61.3,8.775,29.88888888888889,"{'present': 62, 'past': 3, 'future': 0, 'conditional': 0, 'subjunctive': 4}",3
B,B1,"Heutzutage ist die Heirat nur eine Wahl . Immer mehr denken die Leute , dass sie nicht unbedingt heiraten müssen . Die Grafik zeigt uns , dass Die Haushaltsgröße in Deutschland sich viel geändert hat . In 1975 haben fast die Hälfte mit anderen zusammen gewohnt , und nur 28 % Prozent waren die allein lebende . Die Zahl von 1 Person in einem Haushat hat von 1975 bis 2015 um 14 Prozent aufgestiegen . In 2015 ist es nur 24 prozent , dass 3 oder mehr als 3 in einem Haushalt leben . Man kann diskutieren , ob mit anderen zusammen zu leben wirklich besser ist . Viele Leute sorgen darum , dass die Gesellschaft geschadet wird , wenn immer mehr Leute allein leben , weil sie ihre soziale Fähigkeiten verliert . Ich kann nicht dazu stimmen und denke , dass es besser ist , wenn man allein lebt . Man kann viele Zeit und Energie für Hobby oder zum Lernen nutzen . Wenn man eine Familie hat , muss man um Kind und Ehemann oder Ehefrau kümmern . Man muss immer vorher überlegen , ob es mit dem Schedule von Famillie passt . Aber wenn man allein wohnt , kann man immer alles machen , wie man möchte . Auch verliert man sozialen Kompetenzen nicht , sondern kann man es verbessern . Obwohl man zu Hause allein lebt , hat man die Arbeit . An der Arbeit trifft man sich viele anderen . Man kann auch durch Sportverein neue Leute kennenlernen . Schließlich wirkt Alleinleben stark auf die Markt und Gesellschaft . Zurzeit gibt es viele Produkte für Einzelnen . Früher waren die Produkte sehr groß , weil große Familie es zusammen nutzen . Auch im Restraunt denkt man nicht mehr komisch , obwohl man sieht , dass jemand allein isst . In meinem Heimatland geben viele Leute im jüngere Generation Heirat auf . Sie möchten lieber allein wohnen , da es kostet viel , wenn man eine Familie haben möchte . Die Leute möchten mehr Zeit für sich verbringen . Die Leute in alten Generation und in jüngeren Generation können einander nicht gut verstehen , deswegen leben die alte Leute lieber allein .
",57,47,0,4,0,6,53.896103896103895,47.07792207792208,73.7,5.275,14.68,"{'present': 43, 'past': 2, 'future': 0, 'conditional': 0, 'subjunctive': 2}",3
